"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"Pim",05/21/2016,1,"",120,"Young Dude","D","N","g",2009,3,"Ky","Dennis R. Ejack and Keith Johns","B.","Posse","Silver Deputy","Inherit","Broad Brush","William S. McCarthy","",0,0.000,04/02/2016,"","L","",0.00,0,"Pedroza B","Daniels Patrick B",1,13.380,3,1,1,0,62.440,12,5,3,2,143.561,41,10,7,5,9.900,4,1,0,0,31.809,6,2,2,0,111.752,35,8,5,5,12.600,3,1,1,0,38.909,9,3,2,1,"",4,0.000,2,0,1,0.50,0.75,108,0.000,10,18,15,0.09,0.40,0,0.000,0,0,0,0.00,0.00,10,0.000,3,1,0,0.30,0.40,0,0.000,0,0,0,"PIM",05/20/16,14,11/22/2015,5.000,"N","2015-16",0,0.00,0.00,1,0.00,0.00
"Pim",05/21/2016,1,"",120,"No Brakes","D","N","g",2005,5,"Md","John Franzone Jr. Racing Inc.","Dk. b or br","Parker's Storm Cat","Storm Cat","All Apologies","Mahogany Hall","T D C B E Stable & Wayne Potts","",0,0.000,04/30/2016,"","L","",0.00,0,"Perez X","Potts Wayne",2,21.400,6,1,2,1,72.663,18,5,2,5,384.478,101,20,23,16,56.980,19,1,6,4,0.205,3,0,0,0,384.273,98,20,23,16,77.689,15,3,5,3,181.599,41,7,12,6,"",10,0.000,2,0,0,0.20,0.20,178,0.000,11,16,22,0.06,0.28,8,0.000,0,0,0,0.00,0.00,223,0.000,22,34,32,0.10,0.39,0,0.000,0,0,0,"",,0,12/27/2015,2.000,"N","2015-16",0,0.00,0.00,65,0.15,1.68
"Pim",05/21/2016,1,"",120,"Homeboykris","D","Y","g",2007,2,"Md","Dark Hollow Farm & William Paca Beatson","B.","Roman Ruler","Fusaichi Pegasus","One Last Salute","Salutely","Stirrup Trouble LLC","",0,0.000,04/17/2016,"","L","",0.00,0,"Karamanos H A","Campitelli Francis P",3,20.525,3,1,0,0,27.500,8,2,0,1,541.454,62,13,10,5,97.995,13,4,0,4,3.150,4,0,0,0,538.304,58,13,10,5,0.000,0,0,0,0,1.050,1,0,0,0,"",17,0.000,1,3,6,0.06,0.59,261,0.000,43,33,44,0.16,0.46,3,0.000,0,0,0,0.00,0.00,26,0.000,2,5,3,0.08,0.38,0,0.000,0,0,0,"",,0,12/31/2015,0.000,"N","2015-16",0,0.00,0.00,8,0.13,2.93
"Pim",05/21/2016,1,"",120,"Aridus","D","N","g",2007,4,"Ky","Highclere","B.","Dynaformer","Roberto","Leh She Run","Pulpit","Gerald E. Brooks","",0,0.000,03/26/2016,"","L","",0.00,0,"Toledo J","Brooks Gerald E",4,0.300,2,0,0,0,41.550,14,1,5,1,188.293,46,6,11,5,12.450,4,1,0,0,56.223,16,2,1,0,132.070,30,4,10,5,0.000,0,0,0,0,17.800,5,0,3,0,"",20,0.000,4,4,0,0.20,0.40,338,0.000,45,55,39,0.13,0.41,2,0.000,1,0,0,0.50,0.50,119,0.000,18,25,19,0.15,0.52,0,0.000,0,0,0,"PIM",05/20/16,14,12/11/2015,150.000,"N","2015-16",1,12.00,1.00,51,0.25,3.53
"Pim",05/21/2016,1,"",122,"Golden Rings","D","N","g",2011,3,"Ky","Summer Wind Farm","Ch.","Birdstone","Grindstone","Five Gold Rings","Touch Gold","Rob Ry Farm & Jayne Marie Slysz","",0,0.000,04/23/2016,"","L","",0.00,0,"Lynch F","Houghton Dove P",5,20.520,3,2,0,0,16.530,5,1,0,1,169.932,25,9,1,6,3.300,1,0,0,1,0.000,0,0,0,0,169.932,25,9,1,6,31.450,3,2,0,1,37.900,5,2,0,1,"",23,0.000,4,5,4,0.17,0.57,203,0.000,22,20,23,0.11,0.32,5,0.000,0,1,1,0.00,0.40,34,0.000,2,4,2,0.06,0.24,0,0.000,0,0,0,"",,0,08/26/2015,5.000,"N","2015-16",1,0.00,0.00,2,0.00,0.00
"Pim",05/21/2016,1,"",122,"Double Whammy","D","N","h",2011,3,"Ky","Peachtree Farm","Dk. b or br","Arch","Kris S.","Falling Springs","Mr. Prospector","Cohav Stables Inc.","",0,0.000,04/29/2016,"","L","",0.00,0,"Hole T M","Eppler Mary E",6,68.800,5,2,2,0,32.610,11,1,1,3,152.163,24,5,5,3,35.630,5,1,1,1,36.323,9,1,1,1,115.840,15,4,4,2,9.000,3,0,0,1,61.350,10,1,4,2,"",10,0.000,0,0,0,0.00,0.00,190,0.000,16,30,19,0.08,0.34,6,0.000,0,2,2,0.00,0.67,101,0.000,15,20,14,0.15,0.49,0,0.000,0,0,0,"PIM",05/20/16,14,12/18/2015,0.000,"N","2015-16",1,0.00,0.00,82,0.20,2.40
"Pim",05/21/2016,1,"",113,"Who Stole My Sock","D","N","g",2011,5,"Md","Dr. Fred Lewis","Dk. b or br","Scipion","A.P. Indy","Tricky Luck","Norquestor","Lewis Family Racing Stable","",0,0.000,05/08/2016,"","L","",0.00,7,"Glaser L","Mancilla Carlos A",7,17.486,5,0,3,0,23.375,13,0,3,2,78.346,31,1,7,4,2.820,3,0,0,0,0.000,2,0,0,0,78.346,29,1,7,4,22.103,5,1,0,0,1.080,1,0,0,0,"",21,0.000,1,1,3,0.05,0.24,173,0.000,19,24,19,0.11,0.36,0,0.000,0,0,0,0.00,0.00,20,0.000,3,4,1,0.15,0.40,0,0.000,0,0,0,"",,0,12/20/2015,2.500,"N","2015-16",0,0.00,0.00,9,0.22,4.49
"Pim",05/21/2016,1,"",115,"Start Jumping","D","N","g",2010,3,"Ky","John O'Meara","Dk. b or br","Jump Start","A.P. Indy","Rootintootinnany","Kris S.","Sola Dei Gloria Stable","",0,0.000,04/15/2016,"","L","",0.00,5,"Luzzi L J","McMahon Hugh I",8,30.720,4,2,1,0,23.560,11,1,1,1,304.880,36,9,6,6,79.400,7,2,0,1,0.000,0,0,0,0,304.880,36,9,6,6,0.000,0,0,0,0,104.340,11,4,0,2,"",16,0.000,1,1,3,0.06,0.31,304,0.000,33,32,44,0.11,0.36,4,0.000,2,0,0,0.50,0.50,95,0.000,19,14,15,0.20,0.51,0,0.000,0,0,0,"",,0,12/11/2015,10.000,"N","2015-16",1,0.00,0.00,20,0.15,1.27
"Pim",05/21/2016,1,"",120,"Steve Came Thru","D","N","g",2011,5,"Ky","Knight R. B. Stables LLC","Dk. b or br","Stephen Got Even","A.P. Indy","Wonderwho'sbest","Three Wonders","Frank Langdon, III","",0,0.000,05/08/2016,"","L","",0.00,0,"McCarthy T","O'Connell Kathleen",9,24.400,7,2,2,2,4.260,6,0,1,1,90.866,30,5,5,5,30.502,4,2,0,1,2.350,3,0,0,1,88.516,27,5,5,4,0.000,0,0,0,0,42.910,10,3,2,1,"",23,0.000,5,8,1,0.22,0.61,420,0.000,77,83,59,0.18,0.52,0,0.000,0,0,0,0.00,0.00,281,0.000,39,39,31,0.14,0.39,0,0.000,0,0,0,"",,0,12/30/2015,0.000,"N","2015-16",0,0.00,0.00,29,0.10,0.83
"Pim",05/21/2016,2,"",119,"Private Client","D","N","f",2013,4,"Ky","Elevage, LLC","B.","Kitten's Joy","El Prado*Ire","Motokiks","Storm Cat","Heider Family Stables LLC","",0,0.000,04/23/2016,"","L","",0.00,0,"Lezcano J","Proctor Thomas F",1,12.000,1,0,1,0,0.000,0,0,0,0,12.000,1,0,1,0,0.000,0,0,0,0,12.000,1,0,1,0,0.000,0,0,0,0,0.000,0,0,0,0,12.000,1,0,1,0,"",0,0.000,0,0,0,0.00,0.00,292,0.000,37,32,47,0.13,0.40,2,0.000,1,0,1,0.50,1.00,134,0.000,20,17,22,0.15,0.44,0,0.000,0,0,0,"",,0,,100.000,"N","2015-16",0,0.00,0.00,17,0.18,1.84
